"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월 01일","1,809.00","1,809.00","1,809.00","1,809.00","-","-0.77%"
"2019년 09월 30일","1,823.00","1,823.00","1,823.00","1,823.00","-","-1.83%"
"2019년 09월 27일","1,857.00","1,857.00","1,857.00","1,857.00","-","-5.40%"
"2019년 09월 26일","1,963.00","1,963.00","1,963.00","1,963.00","-","-4.38%"
"2019년 09월 25일","2,053.00","2,053.00","2,053.00","2,053.00","-","-2.98%"
"2019년 09월 24일","2,116.00","2,116.00","2,116.00","2,116.00","-","0.38%"
"2019년 09월 23일","2,108.00","2,108.00","2,108.00","2,108.00","-","-1.08%"
"2019년 09월 20일","2,131.00","2,131.00","2,131.00","2,131.00","-","-2.78%"
"2019년 09월 19일","2,192.00","2,192.00","2,192.00","2,192.00","-","-3.27%"
"2019년 09월 18일","2,266.00","2,266.00","2,266.00","2,266.00","-","-0.74%"
"2019년 09월 17일","2,283.00","2,283.00","2,283.00","2,283.00","-","-1.21%"
"2019년 09월 16일","2,311.00","2,311.00","2,311.00","2,311.00","-","-0.04%"
"2019년 09월 13일","2,312.00","2,312.00","2,312.00","2,312.00","-","-0.82%"
"2019년 09월 12일","2,331.00","2,331.00","2,331.00","2,331.00","-","-1.48%"
"2019년 09월 11일","2,366.00","2,366.00","2,366.00","2,366.00","-","-1.13%"
"2019년 09월 10일","2,393.00","2,393.00","2,393.00","2,393.00","-","-1.20%"
"2019년 09월 09일","2,422.00","2,422.00","2,422.00","2,422.00","-","-1.62%"
"2019년 09월 06일","2,462.00","2,462.00","2,462.00","2,462.00","-","-1.48%"
"2019년 09월 05일","2,499.00","2,499.00","2,499.00","2,499.00","-","-0.75%"
"2019년 09월 04일","2,518.00","2,518.00","2,518.00","2,518.00","-","0.68%"
"2019년 09월 03일","2,501.00","2,501.00","2,501.00","2,501.00","-","2.42%"
"2019년 09월 02일","2,442.00","2,442.00","2,442.00","2,442.00","-","2.69%"
"2019년 08월 30일","2,378.00","2,378.00","2,378.00","2,378.00","-","4.44%"
"2019년 08월 29일","2,277.00","2,277.00","2,277.00","2,277.00","-","0.44%"
"2019년 08월 28일","2,267.00","2,267.00","2,267.00","2,267.00","-","2.44%"
"2019년 08월 27일","2,213.00","2,213.00","2,213.00","2,213.00","-","2.08%"
"2019년 08월 23일","2,168.00","2,168.00","2,168.00","2,168.00","-","2.36%"
"2019년 08월 22일","2,118.00","2,118.00","2,118.00","2,118.00","-","2.77%"
"2019년 08월 21일","2,061.00","2,061.00","2,061.00","2,061.00","-","0.10%"
"2019년 08월 20일","2,059.00","2,059.00","2,059.00","2,059.00","-","-0.39%"
"2019년 08월 19일","2,067.00","2,067.00","2,067.00","2,067.00","-","-1.01%"
"2019년 08월 16일","2,088.00","2,088.00","2,088.00","2,088.00","-","2.00%"
"2019년 08월 15일","2,047.00","2,047.00","2,047.00","2,047.00","-","4.97%"
"2019년 08월 14일","1,950.00","1,950.00","1,950.00","1,950.00","-","4.61%"
"2019년 08월 13일","1,864.00","1,864.00","1,864.00","1,864.00","-","5.07%"
"2019년 08월 12일","1,774.00","1,774.00","1,774.00","1,774.00","-","1.49%"
"2019년 08월 09일","1,748.00","1,748.00","1,748.00","1,748.00","-","1.63%"
"2019년 08월 08일","1,720.00","1,720.00","1,720.00","1,720.00","-","0.47%"
"2019년 08월 07일","1,712.00","1,712.00","1,712.00","1,712.00","-","-1.27%"
"2019년 08월 06일","1,734.00","1,734.00","1,734.00","1,734.00","-","-2.25%"
"2019년 08월 05일","1,774.00","1,774.00","1,774.00","1,774.00","-","-0.78%"
"2019년 08월 02일","1,788.00","1,788.00","1,788.00","1,788.00","-","-1.32%"
"2019년 08월 01일","1,812.00","1,812.00","1,812.00","1,812.00","-","-3.00%"
"2019년 07월 31일","1,868.00","1,868.00","1,868.00","1,868.00","-","-1.63%"
"2019년 07월 30일","1,899.00","1,899.00","1,899.00","1,899.00","-","-1.20%"
"2019년 07월 29일","1,922.00","1,922.00","1,922.00","1,922.00","-","-0.77%"
"2019년 07월 26일","1,937.00","1,937.00","1,937.00","1,937.00","-","-0.51%"
"2019년 07월 25일","1,947.00","1,947.00","1,947.00","1,947.00","-","-3.33%"
"2019년 07월 24일","2,014.00","2,014.00","2,014.00","2,014.00","-","-6.97%"
"2019년 07월 23일","2,165.00","2,165.00","2,165.00","2,165.00","-","-1.19%"
"2019년 07월 22일","2,191.00","2,191.00","2,191.00","2,191.00","-","0.97%"
"2019년 07월 19일","2,170.00","2,170.00","2,170.00","2,170.00","-","1.88%"
"2019년 07월 18일","2,130.00","2,130.00","2,130.00","2,130.00","-","3.20%"
"2019년 07월 17일","2,064.00","2,064.00","2,064.00","2,064.00","-","2.64%"
"2019년 07월 16일","2,011.00","2,011.00","2,011.00","2,011.00","-","4.30%"
"2019년 07월 15일","1,928.00","1,928.00","1,928.00","1,928.00","-","3.38%"
"2019년 07월 12일","1,865.00","1,865.00","1,865.00","1,865.00","-","2.70%"
"2019년 07월 11일","1,816.00","1,816.00","1,816.00","1,816.00","-","2.19%"
"2019년 07월 10일","1,777.00","1,777.00","1,777.00","1,777.00","-","1.02%"
"2019년 07월 09일","1,759.00","1,759.00","1,759.00","1,759.00","-","1.97%"
"2019년 07월 08일","1,725.00","1,725.00","1,725.00","1,725.00","-","-0.86%"
"2019년 07월 05일","1,740.00","1,740.00","1,740.00","1,740.00","-","2.35%"
"2019년 07월 04일","1,700.00","1,700.00","1,700.00","1,700.00","-","9.75%"
"2019년 07월 03일","1,549.00","1,549.00","1,549.00","1,549.00","-","7.12%"
"2019년 07월 02일","1,446.00","1,446.00","1,446.00","1,446.00","-","4.71%"
"2019년 07월 01일","1,381.00","1,381.00","1,381.00","1,381.00","-","1.99%"
"2019년 06월 28일","1,354.00","1,354.00","1,354.00","1,354.00","-","1.04%"
"2019년 06월 27일","1,340.00","1,340.00","1,340.00","1,340.00","-","1.75%"
"2019년 06월 26일","1,317.00","1,317.00","1,317.00","1,317.00","-","2.89%"
"2019년 06월 25일","1,280.00","1,280.00","1,280.00","1,280.00","-","1.75%"
"2019년 06월 24일","1,258.00","1,258.00","1,258.00","1,258.00","-","1.53%"
"2019년 06월 21일","1,239.00","1,239.00","1,239.00","1,239.00","-","3.77%"
"2019년 06월 20일","1,194.00","1,194.00","1,194.00","1,194.00","-","1.27%"
"2019년 06월 19일","1,179.00","1,179.00","1,179.00","1,179.00","-","3.88%"
"2019년 06월 18일","1,135.00","1,135.00","1,135.00","1,135.00","-","3.84%"
"2019년 06월 17일","1,093.00","1,093.00","1,093.00","1,093.00","-","0.74%"
"2019년 06월 14일","1,085.00","1,085.00","1,085.00","1,085.00","-","2.17%"
"2019년 06월 13일","1,062.00","1,062.00","1,062.00","1,062.00","-","-1.67%"
"2019년 06월 12일","1,080.00","1,080.00","1,080.00","1,080.00","-","-2.26%"
"2019년 06월 11일","1,105.00","1,105.00","1,105.00","1,105.00","-","-1.78%"
"2019년 06월 10일","1,125.00","1,125.00","1,125.00","1,125.00","-","-1.14%"
"2019년 06월 07일","1,138.00","1,138.00","1,138.00","1,138.00","-","0.00%"
"2019년 06월 06일","1,138.00","1,138.00","1,138.00","1,138.00","-","-0.26%"
"2019년 06월 05일","1,141.00","1,141.00","1,141.00","1,141.00","-","1.69%"
"2019년 06월 04일","1,122.00","1,122.00","1,122.00","1,122.00","-","1.72%"
"2019년 06월 03일","1,103.00","1,103.00","1,103.00","1,103.00","-","0.64%"
"2019년 05월 31일","1,096.00","1,096.00","1,096.00","1,096.00","-","-0.09%"
"2019년 05월 30일","1,097.00","1,097.00","1,097.00","1,097.00","-","-0.90%"
"2019년 05월 29일","1,107.00","1,107.00","1,107.00","1,107.00","-","2.31%"
"2019년 05월 28일","1,082.00","1,082.00","1,082.00","1,082.00","-","1.50%"
"2019년 05월 24일","1,066.00","1,066.00","1,066.00","1,066.00","-","-0.19%"
"2019년 05월 23일","1,068.00","1,068.00","1,068.00","1,068.00","-","0.85%"
"2019년 05월 22일","1,059.00","1,059.00","1,059.00","1,059.00","-","0.95%"
"2019년 05월 21일","1,049.00","1,049.00","1,049.00","1,049.00","-","0.77%"
"2019년 05월 20일","1,041.00","1,041.00","1,041.00","1,041.00","-","0.10%"
"2019년 05월 17일","1,040.00","1,040.00","1,040.00","1,040.00","-","0.78%"
"2019년 05월 16일","1,032.00","1,032.00","1,032.00","1,032.00","-","0.00%"
"2019년 05월 15일","1,032.00","1,032.00","1,032.00","1,032.00","-","-1.05%"
"2019년 05월 14일","1,043.00","1,043.00","1,043.00","1,043.00","-","1.66%"
"2019년 05월 13일","1,026.00","1,026.00","1,026.00","1,026.00","-","1.28%"
"2019년 05월 10일","1,013.00","1,013.00","1,013.00","1,013.00","-","4.00%"
"2019년 05월 09일","974.00","974.00","974.00","974.00","-","3.62%"
"2019년 05월 08일","940.00","940.00","940.00","940.00","-","0.43%"
"2019년 05월 07일","936.00","936.00","936.00","936.00","-","-4.97%"
"2019년 05월 03일","985.00","985.00","985.00","985.00","-","-4.55%"
"2019년 05월 02일","1,032.00","1,032.00","1,032.00","1,032.00","-","0.10%"
"2019년 05월 01일","1,031.00","1,031.00","1,031.00","1,031.00","-","1.98%"
"2019년 04월 30일","1,011.00","1,011.00","1,011.00","1,011.00","-","10.73%"
"2019년 04월 29일","913.00","913.00","913.00","913.00","-","2.70%"
"2019년 04월 26일","889.00","889.00","889.00","889.00","-","2.30%"
"2019년 04월 25일","869.00","869.00","869.00","869.00","-","2.24%"
"2019년 04월 24일","850.00","850.00","850.00","850.00","-","3.53%"
"2019년 04월 23일","821.00","821.00","821.00","821.00","-","3.92%"
"2019년 04월 18일","790.00","790.00","790.00","790.00","-","3.00%"
"2019년 04월 17일","767.00","767.00","767.00","767.00","-","2.40%"
"2019년 04월 16일","749.00","749.00","749.00","749.00","-","1.49%"
"2019년 04월 15일","738.00","738.00","738.00","738.00","-","1.65%"
"2019년 04월 12일","726.00","726.00","726.00","726.00","-","-0.27%"
"2019년 04월 11일","728.00","728.00","728.00","728.00","-","-0.82%"
"2019년 04월 10일","734.00","734.00","734.00","734.00","-","1.24%"
"2019년 04월 09일","725.00","725.00","725.00","725.00","-","1.54%"
"2019년 04월 08일","714.00","714.00","714.00","714.00","-","0.42%"
"2019년 04월 05일","711.00","711.00","711.00","711.00","-","1.72%"
"2019년 04월 04일","699.00","699.00","699.00","699.00","-","4.02%"
"2019년 04월 03일","672.00","672.00","672.00","672.00","-","-0.30%"
"2019년 04월 02일","674.00","674.00","674.00","674.00","-","-1.61%"
"2019년 04월 01일","685.00","685.00","685.00","685.00","-","-0.58%"
"2019년 03월 29일","689.00","689.00","689.00","689.00","-","-0.43%"
"2019년 03월 28일","692.00","692.00","692.00","692.00","-","0.29%"
"2019년 03월 27일","690.00","690.00","690.00","690.00","-","1.02%"
"2019년 03월 26일","683.00","683.00","683.00","683.00","-","-0.87%"
"2019년 03월 25일","689.00","689.00","689.00","689.00","-","-0.14%"
"2019년 03월 22일","690.00","690.00","690.00","690.00","-","-0.72%"
"2019년 03월 21일","695.00","695.00","695.00","695.00","-","-1.97%"
"2019년 03월 20일","709.00","709.00","709.00","709.00","-","-0.42%"
"2019년 03월 19일","712.00","712.00","712.00","712.00","-","-1.25%"
"2019년 03월 18일","721.00","721.00","721.00","721.00","-","-1.23%"
"2019년 03월 15일","730.00","730.00","730.00","730.00","-","7.83%"
"2019년 03월 14일","677.00","677.00","677.00","677.00","-","3.52%"
"2019년 03월 13일","654.00","654.00","654.00","654.00","-","1.08%"
"2019년 03월 12일","647.00","647.00","647.00","647.00","-","0.31%"
"2019년 03월 11일","645.00","645.00","645.00","645.00","-","-0.62%"
"2019년 03월 08일","649.00","649.00","649.00","649.00","-","-1.22%"
"2019년 03월 07일","657.00","657.00","657.00","657.00","-","-1.05%"
"2019년 03월 06일","664.00","664.00","664.00","664.00","-","0.15%"
"2019년 03월 05일","663.00","663.00","663.00","663.00","-","-0.90%"
"2019년 03월 04일","669.00","669.00","669.00","669.00","-","0.75%"
"2019년 03월 01일","664.00","664.00","664.00","664.00","-","0.91%"
"2019년 02월 28일","658.00","658.00","658.00","658.00","-","1.08%"
"2019년 02월 27일","651.00","651.00","651.00","651.00","-","0.31%"
