category_code,category_name,company_nums,company_list
002,대형(시가총액),100,"['A001040', 'A000120', 'A097950', 'A005830', 'A078930', 'A006360', 'A007070', 'A011200', 'A105560', 'A030200', 'A033780', 'A003550', 'A034220', 'A051900', 'A032640', 'A011070', 'A066570', 'A051910', 'A035420', 'A005940', 'A005490', 'A010950', 'A034730', 'A011790', 'A326030', 'A096770', 'A285130', 'A017670', 'A000660', 'A035250', 'A010130', 'A011780', 'A000270', 'A024110', 'A251270', 'A006280', 'A042660', 'A003090', 'A003490', 'A012510', 'A026960', 'A241560', 'A034020', 'A336260', 'A023530', 'A004990', 'A011170', 'A204320', 'A088980', 'A006800', 'A006400', 'A028260', 'A207940', 'A032830', 'A018260', 'A028050', 'A009150', 'A005930', 'A010140', 'A016360', 'A029780', 'A000810', 'A068270', 'A019170', 'A055550', 'A003410', 'A002790', 'A090430', 'A012750', 'A036570', 'A271560', 'A316140', 'A000100', 'A139480', 'A020150', 'A035720', 'A021240', 'A039490', 'A003670', 'A086790', 'A352820', 'A036460', 'A071050', 'A015760', 'A009540', 'A161390', 'A047810', 'A008930', 'A128940', 'A018880', 'A180640', 'A009830', 'A000720', 'A086280', 'A012330', 'A004020', 'A267250', 'A005380', 'A008770', 'A081660']"
003,중형(시가총액),200,"['A027410', 'A282330', 'A138930', 'A079160', 'A000990', 'A139130', 'A000210', 'A001880', 'A375500', 'A007700', 'A114090', 'A012630', 'A294870', 'A175330', 'A001060', 'A002380', 'A344820', 'A016380', 'A033180', 'A093050', 'A079550', 'A006260', 'A010120', 'A001120', 'A108670', 'A181710', 'A034310', 'A010060', 'A005090', 'A018670', 'A001740', 'A006120', 'A210980', 'A068400', 'A064960', 'A005610', 'A009450', 'A009290', 'A030610', 'A339770', 'A073240', 'A008350', 'A002350', 'A005250', 'A004370', 'A023590', 'A353200', 'A001680', 'A003540', 'A047040', 'A069620', 'A006650', 'A001440', 'A005880', 'A192080', 'A145720', 'A001230', 'A000640', 'A170900', 'A082640', 'A049770', 'A006040', 'A014820', 'A000020', 'A000150', 'A042670', 'A192650', 'A115390', 'A032350', 'A330590', 'A000400', 'A004000', 'A286940', 'A280360', 'A005300', 'A071840', 'A138040', 'A008560', 'A000060', 'A085620', 'A002840', 'A268280', 'A003850', 'A003000', 'A015350', 'A005180', 'A001470', 'A001360', 'A145990', 'A003230', 'A000070', 'A001820', 'A017390', 'A008490', 'A004490', 'A001430', 'A336370', 'A011930', 'A004170', 'A031430', 'A001720', 'A112610', 'A020560', 'A010780', 'A018250', 'A005850', 'A003060', 'A111770', 'A009970', 'A003520', 'A000670', 'A007310', 'A001800', 'A033660', 'A010050', 'A033270', 'A014830', 'A003470', 'A008730', 'A214320', 'A249420', 'A007570', 'A081000', 'A226320', 'A348950', 'A036420', 'A030000', 'A271980', 'A089590', 'A185750', 'A001630', 'A013890', 'A071320', 'A272450', 'A011000', 'A281820', 'A003690', 'A192820', 'A005070', 'A003070', 'A120110', 'A192400', 'A284740', 'A003240', 'A009410', 'A363280', 'A005690', 'A028670', 'A047050', 'A017810', 'A103140', 'A039130', 'A000080', 'A025540', 'A000240', 'A123890', 'A017960', 'A161890', 'A024720', 'A034830', 'A060980', 'A042700', 'A009240', 'A020000', 'A105630', 'A014680', 'A009420', 'A300720', 'A006390', 'A051600', 'A052690', 'A002320', 'A097230', 'A000880', 'A088350', 'A000370', 'A272210', 'A012450', 'A003530', 'A195870', 'A267270', 'A005440', 'A064350', 'A010620', 'A069960', 'A322000', 'A017800', 'A307950', 'A011210', 'A267260', 'A001450', 'A057050', 'A241590', 'A004800', 'A298040', 'A298050', 'A298020', 'A298000', 'A093370', 'A069260']"
004,소형(시가총액),493,"['A095570', 'A006840', 'A001460', 'A011150', 'A000590', 'A012030', 'A016610', 'A001530', 'A004840', 'A155660', 'A069730', 'A017940', 'A001250', 'A039570', 'A089470', 'A082740', 'A003560', 'A234080', 'A096760', 'A009070', 'A009440', 'A119650', 'A092220', 'A001390', 'A001940', 'A025000', 'A092230', 'A000040', 'A044450', 'A030210', 'A058850', 'A058860', 'A037560', 'A000680', 'A229640', 'A023150', 'A338100', 'A008260', 'A004250', 'A034120', 'A101060', 'A001380', 'A004060', 'A001770', 'A002360', 'A009160', 'A123700', 'A025530', 'A001510', 'A100840', 'A003570', 'A036530', 'A011810', 'A077970', 'A071970', 'A002820', 'A084870', 'A002710', 'A002900', 'A024070', 'A037270', 'A000500', 'A000860', 'A011420', 'A002100', 'A267290', 'A012320', 'A000050', 'A214390', 'A012610', 'A009140', 'A013580', 'A012200', 'A002140', 'A002240', 'A017040', 'A017900', 'A037710', 'A007690', 'A005320', 'A001140', 'A002720', 'A083420', 'A014530', 'A014280', 'A008870', 'A001570', 'A002990', 'A214330', 'A001210', 'A092440', 'A013700', 'A004540', 'A001260', 'A004270', 'A003920', 'A025860', 'A005720', 'A003580', 'A090350', 'A000320', 'A072710', 'A058730', 'A145210', 'A019680', 'A006370', 'A008060', 'A000490', 'A008110', 'A005750', 'A006570', 'A084690', 'A128820', 'A117580', 'A016710', 'A009190', 'A014160', 'A009320', 'A000430', 'A006340', 'A003220', 'A024890', 'A002880', 'A000300', 'A012800', 'A015230', 'A001070', 'A084010', 'A001790', 'A001130', 'A003830', 'A016090', 'A069460', 'A004830', 'A024900', 'A002150', 'A023450', 'A004140', 'A007590', 'A005960', 'A002210', 'A102260', 'A028100', 'A282690', 'A001520', 'A084670', 'A008970', 'A092780', 'A018500', 'A030720', 'A163560', 'A004890', 'A002690', 'A016740', 'A024090', 'A003160', 'A092200', 'A013570', 'A210540', 'A007340', 'A026890', 'A002270', 'A027740', 'A001080', 'A090370', 'A017180', 'A012690', 'A005360', 'A204210', 'A009680', 'A009580', 'A009200', 'A033920', 'A008420', 'A025560', 'A007120', 'A357250', 'A107590', 'A134380', 'A003650', 'A155900', 'A003610', 'A001340', 'A035150', 'A002410', 'A007210', 'A002760', 'A000890', 'A001270', 'A026940', 'A011390', 'A005030', 'A002070', 'A100220', 'A030790', 'A003960', 'A008040', 'A007160', 'A014710', 'A006090', 'A006660', 'A068290', 'A006110', 'A002170', 'A272550', 'A002810', 'A005680', 'A003720', 'A023000', 'A004380', 'A002450', 'A004440', 'A000520', 'A009770', 'A005500', 'A004690', 'A010960', 'A004450', 'A009470', 'A011230', 'A000390', 'A001290', 'A041650', 'A075180', 'A007540', 'A248170', 'A007860', 'A200880', 'A004410', 'A021050', 'A007610', 'A136490', 'A014910', 'A003080', 'A004980', 'A011300', 'A000180', 'A002420', 'A004360', 'A306200', 'A003030', 'A019440', 'A058650', 'A013000', 'A091090', 'A021820', 'A067830', 'A033530', 'A075580', 'A027970', 'A308170', 'A012600', 'A004430', 'A017550', 'A053210', 'A134790', 'A016590', 'A029530', 'A004970', 'A005390', 'A035510', 'A034300', 'A031440', 'A006880', 'A005800', 'A009270', 'A002700', 'A002870', 'A293940', 'A004080', 'A102280', 'A003620', 'A004770', 'A015540', 'A004920', 'A008700', 'A002030', 'A183190', 'A002310', 'A012170', 'A267850', 'A122900', 'A001780', 'A161000', 'A011090', 'A023960', 'A298690', 'A140910', 'A078520', 'A015260', 'A007460', 'A244920', 'A138250', 'A085310', 'A009810', 'A014440', 'A006740', 'A012280', 'A012160', 'A015360', 'A002630', 'A011690', 'A070960', 'A118000', 'A006980', 'A017370', 'A105840', 'A010400', 'A049800', 'A016880', 'A095720', 'A005820', 'A010600', 'A008600', 'A000910', 'A047400', 'A011330', 'A077500', 'A002920', 'A000700', 'A072130', 'A000220', 'A001200', 'A003460', 'A008250', 'A025820', 'A088260', 'A007660', 'A005950', 'A015020', 'A093230', 'A074610', 'A102460', 'A084680', 'A350520', 'A334890', 'A000760', 'A014990', 'A101140', 'A006490', 'A023800', 'A034590', 'A129260', 'A023810', 'A000230', 'A013360', 'A003120', 'A003200', 'A007110', 'A008500', 'A020760', 'A103590', 'A015860', 'A317400', 'A033240', 'A000950', 'A194370', 'A025620', 'A001560', 'A002620', 'A006220', 'A004910', 'A004700', 'A001550', 'A000480', 'A120030', 'A018470', 'A002600', 'A063160', 'A044380', 'A013870', 'A010580', 'A035000', 'A088790', 'A003780', 'A010640', 'A100250', 'A051630', 'A002780', 'A009310', 'A000650', 'A033250', 'A006380', 'A109070', 'A001620', 'A029460', 'A145270', 'A357120', 'A007810', 'A044820', 'A005420', 'A071950', 'A002020', 'A144620', 'A138490', 'A031820', 'A015590', 'A264900', 'A005740', 'A020120', 'A014580', 'A015890', 'A006890', 'A011280', 'A004100', 'A001420', 'A007980', 'A055490', 'A078000', 'A214420', 'A019180', 'A091810', 'A004870', 'A036580', 'A004720', 'A010820', 'A016800', 'A001020', 'A090080', 'A010770', 'A058430', 'A007630', 'A005810', 'A293480', 'A172580', 'A153360', 'A071090', 'A019490', 'A000140', 'A005430', 'A010040', 'A004090', 'A002200', 'A002960', 'A006200', 'A023350', 'A025890', 'A000970', 'A104700', 'A007280', 'A010100', 'A123690', 'A003350', 'A011500', 'A002390', 'A014790', 'A053690', 'A003680', 'A069640', 'A016450', 'A010420', 'A009180', 'A213500', 'A004710', 'A004150', 'A025750', 'A004960', 'A011700', 'A001750', 'A014130', 'A002220', 'A003300', 'A130660', 'A003480', 'A005110', 'A009460', 'A101530', 'A143210', 'A079430', 'A004560', 'A004310', 'A001500', 'A011760', 'A227840', 'A126560', 'A093240', 'A003010', 'A111110', 'A002460', 'A006060', 'A013520', 'A010690', 'A133820', 'A010660', 'A000850', 'A016580', 'A032560', 'A094280', 'A005870', 'A079980', 'A005010', 'A000540', 'A003280']"
005,음식료품,47,"['A011150', 'A011155', 'A097950', 'A097955', 'A023150', 'A005610', 'A002140', 'A003920', 'A003925', 'A004370', 'A001680', 'A001685', 'A001790', 'A001795', 'A001130', 'A049770', 'A280360', 'A005300', 'A005305', 'A002270', 'A027740', 'A033920', 'A000890', 'A005180', 'A003960', 'A008040', 'A014710', 'A006090', 'A145990', 'A145995', 'A003230', 'A248170', 'A004410', 'A004415', 'A136490', 'A007310', 'A271560', 'A006980', 'A002600', 'A264900', 'A26490K', 'A036580', 'A017810', 'A000080', 'A000087', 'A003680', 'A101530']"
006,"섬유,의복",27,"['A001460', 'A001465', 'A383220', 'A007700', 'A093050', 'A084870', 'A001070', 'A016090', 'A090370', 'A003610', 'A002070', 'A011300', 'A005800', 'A009270', 'A009275', 'A102280', 'A005820', 'A014990', 'A003200', 'A008500', 'A000950', 'A007980', 'A020000', 'A105630', 'A016450', 'A093240', 'A111110']"
007,"종이,목재",21,"['A002820', 'A004540', 'A004545', 'A014160', 'A012690', 'A009580', 'A009200', 'A009770', 'A027970', 'A016590', 'A002870', 'A002310', 'A006740', 'A008250', 'A109070', 'A011280', 'A001020', 'A002200', 'A213500', 'A025750', 'A009460']"
008,화학,122,"['A004840', 'A089470', 'A002380', 'A001390', 'A025000', 'A092230', 'A051900', 'A051905', 'A051910', 'A051915', 'A108670', 'A108675', 'A004250', 'A004255', 'A010060', 'A178920', 'A010950', 'A010955', 'A002360', 'A011790', 'A096770', 'A096775', 'A285130', 'A28513K', 'A024070', 'A000860', 'A002100', 'A012610', 'A007690', 'A083420', 'A014530', 'A001570', 'A011780', 'A011785', 'A073240', 'A025860', 'A005720', 'A005725', 'A002350', 'A002355', 'A090350', 'A090355', 'A024890', 'A006650', 'A003830', 'A004830', 'A004835', 'A023450', 'A007590', 'A282690', 'A014820', 'A014825', 'A163560', 'A115390', 'A004000', 'A011170', 'A002840', 'A268280', 'A134380', 'A003650', 'A001340', 'A035150', 'A002760', 'A272550', 'A003720', 'A000390', 'A008490', 'A003080', 'A004430', 'A002790', 'A00279K', 'A002795', 'A090430', 'A090435', 'A018250', 'A161000', 'A078520', 'A014440', 'A014830', 'A008730', 'A005950', 'A081000', 'A226320', 'A025620', 'A004910', 'A001550', 'A003780', 'A010640', 'A100250', 'A051630', 'A006380', 'A192820', 'A005070', 'A005420', 'A144620', 'A120110', 'A120115', 'A138490', 'A015890', 'A006890', 'A003240', 'A055490', 'A214420', 'A002960', 'A161890', 'A161390', 'A003350', 'A011500', 'A014680', 'A000880', 'A00088K', 'A009830', 'A009835', 'A000885', 'A267250', 'A006060', 'A298050', 'A298020', 'A298000', 'A093370', 'A079980', 'A069260']"
009,의약품,52,"['A234080', 'A001060', 'A001067', 'A001065', 'A302440', 'A214390', 'A009290', 'A002720', 'A006280', 'A069620', 'A003220', 'A002210', 'A170900', 'A000020', 'A017180', 'A003850', 'A003000', 'A207940', 'A001360', 'A000520', 'A005500', 'A068270', 'A019170', 'A019175', 'A003060', 'A003520', 'A002630', 'A033270', 'A000220', 'A000225', 'A000227', 'A000100', 'A000105', 'A102460', 'A249420', 'A000230', 'A003120', 'A007570', 'A007575', 'A271980', 'A185750', 'A063160', 'A001630', 'A011000', 'A005690', 'A004720', 'A293480', 'A002390', 'A128940', 'A009420', 'A004310', 'A016580']"
010,비금속광물,27,"['A344820', 'A008870', 'A005750', 'A001520', 'A001527', 'A001529', 'A001525', 'A007210', 'A011390', 'A004440', 'A004980', 'A004985', 'A003410', 'A183190', 'A010780', 'A000910', 'A047400', 'A001560', 'A000480', 'A014580', 'A004870', 'A003670', 'A010040', 'A004090', 'A300720', 'A006390', 'A003300']"
011,"철강,금속",52,"['A155660', 'A069730', 'A016380', 'A016385', 'A001940', 'A008260', 'A005490', 'A001770', 'A002710', 'A010130', 'A002240', 'A014280', 'A014285', 'A008350', 'A008355', 'A009190', 'A012800', 'A084010', 'A069460', 'A001230', 'A008970', 'A004890', 'A002690', 'A024090', 'A001080', 'A008420', 'A026940', 'A006110', 'A021050', 'A001430', 'A306200', 'A019440', 'A058650', 'A139990', 'A001780', 'A000670', 'A012160', 'A025820', 'A018470', 'A058430', 'A103140', 'A071090', 'A000970', 'A104700', 'A007280', 'A002220', 'A004560', 'A004565', 'A004020', 'A133820', 'A032560', 'A005010']"
