code,name,section,date,open,high,low,close,vol,value,n_stock,agg_price,foreign_vol,foreign_rate,agency_buy,agency_netbuy
A068270,celltrion,KOSPI,20050719,4958,5698,4817,5698,249544,3611000000,2000000,11396000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050720,5691,5691,4847,4847,211344,2986000000,2000000,9694000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050721,4773,4869,4240,4248,91342,1118000000,2000000,8496000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050722,4329,4329,4092,4129,34960,395000000,2000000,8258000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050725,4070,4403,4070,4181,30518,347000000,2000000,8362000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050726,4314,4351,4114,4114,19916,227000000,2000000,8228000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050727,4114,4277,4092,4181,22324,251000000,2000000,8362000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050728,4203,4240,4033,4033,20816,229000000,2000000,8066000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050729,4033,4033,3885,3937,28963,308000000,2000000,7874000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050801,3989,4018,3907,3981,14189,152000000,2000000,7962000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050802,3959,3959,3855,3922,20933,221000000,2000000,7844000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050803,3863,3937,3722,3722,15802,163000000,2000000,7444000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050804,3737,3870,3737,3811,9063,93000000,2000000,7622000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050805,3715,3737,3648,3700,8991,90000000,2000000,7400000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050808,3589,3774,3589,3693,4781,48000000,2000000,7386000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050809,3596,3848,3596,3644,12682,127000000,2000000,7288000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050810,3593,3715,3589,3685,14773,145000000,2000000,7370000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050811,3737,3737,3648,3700,7488,75000000,2000000,7400000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050812,3707,3737,3367,3596,10362,101000000,2000000,7192000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050816,3574,3578,3478,3552,6891,66000000,2000000,7104000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050817,3471,3604,3393,3393,7107,66000000,2000000,6786000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050818,3389,3419,3285,3289,9382,85000000,2000000,6578000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050819,3204,3293,3034,3108,32691,276000000,2000000,6216000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050822,3145,3230,3123,3182,9903,85000000,2000000,6364000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050823,3219,3234,3078,3115,11988,103000000,2000000,6230000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050824,3093,3141,3038,3130,13576,113000000,2000000,6260000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050825,3078,3126,3060,3108,8798,73000000,2000000,6216000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050826,3071,3145,3034,3097,18215,152000000,2000000,6194000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050829,3063,3078,2949,2978,20655,167000000,2000000,5956000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050830,2978,3012,2938,2997,8658,70000000,2000000,5994000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050831,2934,3030,2934,2960,7850,63000000,2000000,5920000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050901,2982,3093,2982,3093,20394,168000000,2000000,6186000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050902,3086,3245,3071,3145,13331,113000000,2000000,6290000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050905,3160,3167,3108,3112,6234,53000000,2000000,6224000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050906,3167,3167,3104,3115,13219,112000000,2000000,6230000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050907,3145,3315,3145,3230,34634,303000000,2000000,6460000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050908,3248,3396,3234,3359,23245,207000000,2000000,6718000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050909,3408,3408,3256,3256,9874,87000000,2000000,6512000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050912,3256,3285,3171,3182,15057,130000000,2000000,6364000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050913,3145,3223,3075,3174,14514,123000000,2000000,6348000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050914,3167,3648,3167,3648,79677,752000000,2000000,7296000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050915,3774,4040,3574,3848,173188,1788000000,2000000,7696000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050916,3952,3952,3630,3685,51784,524000000,2000000,7370000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050920,3648,3667,3519,3533,67143,649000000,2000000,7066000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050921,3526,3685,3485,3633,55646,535000000,2000000,7266000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050922,3570,3652,3530,3541,50261,485000000,2000000,7082000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050923,3496,3648,3445,3445,32713,313000000,2000000,6890000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050926,3452,3500,3396,3456,13645,127000000,2000000,6912000000,0,0.0,0,0
A068270,celltrion,KOSPI,20050927,3478,3774,3448,3767,78160,769000000,2000000,7534000000,0,0.0,0,0
